CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_512_size512.png | 0.0867   | 0.0813   | 7.6530 | 99.84  | 27.29  | 9.39   | -0.025 | 0.032  | 0.011 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_0_size512.png | 0.0892   | 0.0787   | 7.6451 | 99.83  | 28.10  | 9.11   | -0.025 | 0.039  | 0.004 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_1024_size512.png | 0.0918   | 0.0862   | 7.6494 | 99.82  | 28.08  | 9.13   | -0.027 | -0.002 | 0.006 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_1536_size512.png | 0.0884   | 0.0793   | 7.6456 | 99.84  | 28.12  | 9.10   | -0.031 | 0.062  | 0.024 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_2048_size512.png | 0.0884   | 0.0800   | 7.6551 | 99.83  | 28.18  | 9.08   | -0.015 | -0.017 | -0.008
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_2560_size512.png | 0.0909   | 0.0852   | 7.6500 | 99.82  | 28.23  | 9.07   | -0.022 | 0.043  | 0.004 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_3072_size512.png | 0.0876   | 0.0782   | 7.6527 | 99.84  | 27.75  | 9.22   | -0.037 | -0.017 | -0.002
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1024_512_size512.png | 0.0899   | 0.0785   | 7.6488 | 99.82  | 28.16  | 9.08   | -0.016 | 0.029  | 0.005 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_0_size512.png | 0.0884   | 0.0898   | 7.6455 | 99.83  | 28.43  | 8.98   | -0.020 | 0.014  | 0.014 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_1024_size512.png | 0.0884   | 0.0790   | 7.6407 | 99.83  | 28.94  | 8.81   | -0.055 | 0.005  | 0.006 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_1536_size512.png | 0.0899   | 0.0806   | 7.6425 | 99.82  | 28.68  | 8.91   | -0.045 | -0.005 | 0.021 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_2048_size512.png | 0.0903   | 0.0842   | 7.6489 | 99.82  | 28.56  | 8.95   | -0.011 | -0.018 | 0.001 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_2560_size512.png | 0.0922   | 0.0945   | 7.6479 | 99.81  | 27.64  | 9.30   | -0.026 | 0.023  | 0.028 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_3072_size512.png | 0.0884   | 0.0842   | 7.6517 | 99.83  | 27.82  | 9.21   | -0.063 | 0.001  | 0.000 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_1536_512_size512.png | 0.0901   | 0.0834   | 7.6367 | 99.81  | 29.64  | 8.59   | -0.076 | 0.031  | 0.016 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_0_size512.png | 0.0865   | 0.0770   | 7.6466 | 99.84  | 28.31  | 9.00   | -0.048 | 0.013  | 0.017 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_1024_size512.png | 0.0858   | 0.0771   | 7.6460 | 99.84  | 28.37  | 8.99   | -0.037 | 0.026  | 0.017 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_1536_size512.png | 0.0883   | 0.0890   | 7.6395 | 99.84  | 29.16  | 8.74   | -0.098 | 0.016  | -0.010
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_2048_size512.png | 0.0937   | 0.0833   | 7.6455 | 99.81  | 28.86  | 8.87   | -0.038 | 0.015  | 0.018 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_2048_2560_size512.png | 0.0869   | 0.0779   | 7.6450 | 99.84  | 28.24  | 9.04   | -0.042 | 0.021  | 0.001 
